カテゴリ,物件名,住所,最寄りのアクセス_1,最寄りのアクセス_2,最寄りのアクセス_3,築年数,階数,階,家賃,管理費,敷金,礼金,間取,面積,URL
賃貸アパート,南海和歌山港線 和歌山港駅 2階建 築18年,和歌山県和歌山市西小二里３,南海和歌山港線/和歌山港駅 歩34分,ＪＲ紀勢本線/宮前駅 歩42分,南海本線/和歌山市駅 歩48分,築18年,2階建,1階,3.9万円,3400円,-,-,1K,27m2,https://suumo.jp/chintai/jnc_000079223345/?bc=100280750221
賃貸アパート,南海和歌山港線 和歌山港駅 2階建 築18年,和歌山県和歌山市西小二里３,南海和歌山港線/和歌山港駅 歩34分,ＪＲ紀勢本線/宮前駅 歩42分,南海本線/和歌山市駅 歩48分,築18年,2階建,1階,3.9万円,3400円,-,-,1K,27m2,https://suumo.jp/chintai/jnc_000079223346/?bc=100273876701
賃貸アパート,南海和歌山港線 和歌山港駅 2階建 築18年,和歌山県和歌山市西小二里３,南海和歌山港線/和歌山港駅 歩34分,ＪＲ紀勢本線/宮前駅 歩42分,南海本線/和歌山市駅 歩48分,築18年,2階建,2階,4万円,3400円,-,-,1K,27m2,https://suumo.jp/chintai/jnc_000079294497/?bc=100316255512
賃貸アパート,南海和歌山港線 和歌山港駅 2階建 築18年,和歌山県和歌山市西小二里３,南海和歌山港線/和歌山港駅 歩34分,ＪＲ紀勢本線/宮前駅 歩42分,南海本線/和歌山市駅 歩48分,築18年,2階建,1階,4.2万円,3400円,-,-,1K,30.26m2,https://suumo.jp/chintai/jnc_000085399675/?bc=100346615304
賃貸アパート,南海和歌山港線 和歌山港駅 2階建 築18年,和歌山県和歌山市西小二里３,南海和歌山港線/和歌山港駅 歩34分,ＪＲ紀勢本線/宮前駅 歩42分,南海本線/和歌山市駅 歩48分,築18年,2階建,2階,4.2万円,3400円,-,-,1K,27m2,https://suumo.jp/chintai/jnc_000084885807/?bc=100344862689
賃貸アパート,サウスメゾンムーランルージュ,和歌山県和歌山市杭ノ瀬,ＪＲ紀勢本線/宮前駅 歩8分,,,築13年,3階建,2階,10万円,5000円,-,-,3LDK,85.86m2,https://suumo.jp/chintai/jnc_000084792074/?bc=100333662820
賃貸マンション,秋月マンション,和歌山県和歌山市福島,南海本線/紀ノ川駅 歩17分,ＪＲ紀勢本線/和歌山市駅 歩21分,南海加太線/東松江駅 歩26分,築53年,2階建,2階,3.4万円,3000円,3.4万円,3.4万円,2LDK,40m2,https://suumo.jp/chintai/jnc_000082615626/?bc=100301375957
賃貸アパート,ヴィレッジ名草ＰＡＲＴIII,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩25分,ＪＲ紀勢本線/黒江駅 歩28分,ＪＲ紀勢本線/海南駅 歩53分,築19年,2階建,1階,4.6万円,4000円,4.6万円,-,1DK,35.6m2,https://suumo.jp/chintai/jnc_000085074176/?bc=100333662062
賃貸アパート,ヴィレッジ名草ＰＡＲＴIII,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩25分,ＪＲ紀勢本線/黒江駅 歩28分,ＪＲ紀勢本線/海南駅 歩53分,築19年,2階建,1階,4.6万円,4000円,4.6万円,-,1DK,35.64m2,https://suumo.jp/chintai/jnc_000085074177/?bc=100270208120
賃貸アパート,ヴィレッジ名草ＰＡＲＴIII,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩25分,ＪＲ紀勢本線/黒江駅 歩28分,ＪＲ紀勢本線/海南駅 歩53分,築19年,2階建,1階,4.7万円,4000円,4.7万円,-,ワンルーム,35.64m2,https://suumo.jp/chintai/jnc_000085074178/?bc=100346473484
賃貸アパート,ヴィレッジ名草ＰＡＲＴIII,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩25分,ＪＲ紀勢本線/黒江駅 歩28分,ＪＲ紀勢本線/海南駅 歩53分,築19年,2階建,2階,5万円,4000円,5万円,-,ワンルーム,35.64m2,https://suumo.jp/chintai/jnc_000061170944/?bc=100346834648
賃貸アパート,ヴィレッジ名草ＰＡＲＴIII,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩25分,ＪＲ紀勢本線/黒江駅 歩28分,ＪＲ紀勢本線/海南駅 歩53分,築19年,2階建,1階,5万円,4000円,-,-,ワンルーム,35.64m2,https://suumo.jp/chintai/jnc_000076286662/?bc=100340086129
賃貸アパート,ＪＲ紀勢本線 紀三井寺駅 2階建 築19年,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩24分,ＪＲ紀勢本線/黒江駅 歩29分,ＪＲ紀勢本線/海南駅 歩53分,築19年,2階建,1階,4.6万円,4000円,4.6万円,-,1DK,35.6m2,https://suumo.jp/chintai/jnc_000085232741/?bc=100337082992
賃貸アパート,ＪＲ紀勢本線 紀三井寺駅 2階建 築19年,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩24分,ＪＲ紀勢本線/黒江駅 歩29分,ＪＲ紀勢本線/海南駅 歩53分,築19年,2階建,1階,4.6万円,4000円,4.6万円,-,1DK,35.6m2,https://suumo.jp/chintai/jnc_000085232742/?bc=100273137325
賃貸アパート,ＪＲ紀勢本線 紀三井寺駅 2階建 築19年,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩24分,ＪＲ紀勢本線/黒江駅 歩29分,ＪＲ紀勢本線/海南駅 歩53分,築19年,2階建,1階,4.7万円,4000円,4.7万円,-,1K,35.64m2,https://suumo.jp/chintai/jnc_000085177484/?bc=100301699451
賃貸アパート,ＪＲ紀勢本線 紀三井寺駅 2階建 築19年,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩24分,ＪＲ紀勢本線/黒江駅 歩29分,ＪＲ紀勢本線/海南駅 歩53分,築19年,2階建,2階,5万円,4000円,5万円,-,ワンルーム,35.64m2,https://suumo.jp/chintai/jnc_000063519323/?bc=100346833481
賃貸アパート,Ｍ　ディアマンテ,和歌山県和歌山市今福４,南海和歌山港線/和歌山港駅 歩28分,ＪＲ紀勢本線/宮前駅 歩37分,ＪＲ紀勢本線/和歌山市駅 歩39分,築16年,2階建,1階,4.1万円,5300円,-,-,ワンルーム,31.5m2,https://suumo.jp/chintai/jnc_000085323352/?bc=100346329897
賃貸アパート,南海和歌山港線 和歌山港駅 2階建 築16年,和歌山県和歌山市今福４,南海和歌山港線/和歌山港駅 歩28分,ＪＲ紀勢本線/宮前駅 歩37分,南海本線/和歌山市駅 歩41分,築16年,2階建,1階,4.1万円,5300円,-,-,ワンルーム,31.5m2,https://suumo.jp/chintai/jnc_000085319648/?bc=100345935949
賃貸アパート,シティハイツ,和歌山県和歌山市園部,ＪＲ阪和線/六十谷駅 歩22分,ＪＲ阪和線/紀伊中ノ島駅 歩52分,南海本線/紀ノ川駅 歩53分,築37年,2階建,2階,3.4万円,3000円,-,-,2DK,43.3m2,https://suumo.jp/chintai/jnc_000066206434/?bc=100267377177
賃貸アパート,シティハイツ,和歌山県和歌山市園部,ＪＲ阪和線/六十谷駅 歩22分,ＪＲ阪和線/紀伊中ノ島駅 歩52分,南海本線/紀ノ川駅 歩53分,築37年,2階建,1階,3.4万円,3000円,-,-,2DK,43.3m2,https://suumo.jp/chintai/jnc_000066206433/?bc=100267377192
賃貸アパート,シティハイツ,和歌山県和歌山市園部,ＪＲ阪和線/六十谷駅 歩22分,ＪＲ阪和線/紀伊中ノ島駅 歩52分,南海本線/紀ノ川駅 歩53分,築37年,2階建,2階,3.8万円,-,-,-,2DK,43.3m2,https://suumo.jp/chintai/jnc_000061795844/?bc=100230435243
賃貸アパート,シティハイツ,和歌山県和歌山市園部,ＪＲ阪和線/六十谷駅 歩22分,ＪＲ阪和線/紀伊中ノ島駅 歩52分,南海本線/紀ノ川駅 歩53分,築37年,2階建,1階,3.8万円,-,-,-,2DK,43.3m2,https://suumo.jp/chintai/jnc_000061795843/?bc=100341665023
賃貸アパート,エミネンス東布経丁,和歌山県和歌山市東布経丁１,南海本線/和歌山市駅 歩7分,ＪＲ阪和線/和歌山駅 歩29分,ＪＲ紀勢本線/紀和駅 歩16分,築8年,3階建,1階,8.5万円,5500円,-,14万円,2DK,50.56m2,https://suumo.jp/chintai/jnc_000084683814/?bc=100342067424
賃貸アパート,ベルシャイン　紀三井寺　II,和歌山県和歌山市紀三井寺,ＪＲ紀勢本線/紀三井寺駅 歩23分,ＪＲ紀勢本線/黒江駅 歩28分,,新築,2階建,1階,7.15万円,4400円,-,7.15万円,1LDK,50.87m2,https://suumo.jp/chintai/jnc_000085007255/?bc=100344813043
賃貸アパート,ベルシャイン　紀三井寺　II,和歌山県和歌山市紀三井寺,ＪＲ紀勢本線/紀三井寺駅 歩23分,ＪＲ紀勢本線/黒江駅 歩28分,,新築,2階建,1階,7.35万円,4400円,-,7.35万円,1LDK,50.87m2,https://suumo.jp/chintai/jnc_000085007254/?bc=100343925930
賃貸アパート,ベルシャイン　紀三井寺　II,和歌山県和歌山市紀三井寺,ＪＲ紀勢本線/紀三井寺駅 歩23分,ＪＲ紀勢本線/黒江駅 歩28分,,新築,2階建,1階,7.35万円,4400円,-,7.35万円,1LDK,50.87m2,https://suumo.jp/chintai/jnc_000085007256/?bc=100343877500
賃貸アパート,ベルシャイン　紀三井寺　II,和歌山県和歌山市紀三井寺,ＪＲ紀勢本線/紀三井寺駅 歩23分,ＪＲ紀勢本線/黒江駅 歩28分,,新築,2階建,2階,7.8万円,4400円,-,7.8万円,2LDK,59.16m2,https://suumo.jp/chintai/jnc_000085007258/?bc=100343877482
賃貸アパート,ベルシャイン　紀三井寺　II,和歌山県和歌山市紀三井寺,ＪＲ紀勢本線/紀三井寺駅 歩23分,ＪＲ紀勢本線/黒江駅 歩28分,,新築,2階建,2階,8万円,4400円,-,8万円,2LDK,59.16m2,https://suumo.jp/chintai/jnc_000085007257/?bc=100344120133
賃貸アパート,ベルシャイン　紀三井寺　II,和歌山県和歌山市紀三井寺,ＪＲ紀勢本線/紀三井寺駅 歩23分,ＪＲ紀勢本線/黒江駅 歩28分,,新築,2階建,2階,8万円,4400円,-,8万円,2LDK,59.16m2,https://suumo.jp/chintai/jnc_000085007259/?bc=100343925941
賃貸アパート,マーコット荘,和歌山県和歌山市今福３,バス/砂山南 歩9分,,,新築,2階建,1階,8.9万円,5000円,-,20万円,1LDK,44.5m2,https://suumo.jp/chintai/jnc_000084498392/?bc=100346471006
賃貸アパート,マーコット荘,和歌山県和歌山市今福３,バス/砂山南 歩9分,,,新築,2階建,2階,9.3万円,5000円,-,20万円,1LDK,55.31m2,https://suumo.jp/chintai/jnc_000084498394/?bc=100346470582
賃貸アパート,マーコット荘,和歌山県和歌山市今福３,バス/砂山南 歩9分,,,新築,2階建,1-2階,17.2万円,5000円,-,50万円,3LDK,99.52m2,https://suumo.jp/chintai/jnc_000084498393/?bc=100337566512
賃貸一戸建て,園部戸建,和歌山県和歌山市園部,ＪＲ阪和線/六十谷駅 歩36分,南海本線/紀ノ川駅 歩48分,南海加太線/紀ノ川駅 歩48分,築42年,2階建,1-2階,5.2万円,-,-,-,4DK,80m2,https://suumo.jp/chintai/jnc_000085476816/?bc=100346925985
賃貸マンション,バァウハウス,和歌山県和歌山市西ノ店,南海本線/和歌山市駅 歩10分,ＪＲ紀勢本線/紀和駅 歩19分,ＪＲ阪和線/和歌山駅 歩27分,築37年,7階建,5階,8.5万円,5000円,8.5万円,17万円,3LDK,76.23m2,https://suumo.jp/chintai/jnc_000045375418/?bc=100346745261
賃貸マンション,ヴィラ小松原,和歌山県和歌山市小松原６,ＪＲ紀勢本線/宮前駅 歩29分,南海本線/和歌山市駅 バス12分 (バス停)小松原五丁目 歩4分,南海和歌山港線/和歌山港駅 歩33分,築26年,3階建,3階,6.9万円,5000円,-,-,2SLDK,76.98m2,https://suumo.jp/chintai/jnc_000084990785/?bc=100344063287
賃貸マンション,ヴィラ小松原,和歌山県和歌山市小松原６,ＪＲ紀勢本線/宮前駅 歩29分,南海本線/和歌山市駅 バス12分 (バス停)小松原五丁目 歩4分,南海和歌山港線/和歌山港駅 歩33分,築26年,3階建,3階,7.1万円,5000円,-,-,2SLDK,76.98m2,https://suumo.jp/chintai/jnc_000084990784/?bc=100346830874
賃貸マンション,ヴィラ小松原,和歌山県和歌山市小松原６,ＪＲ紀勢本線/宮前駅 歩29分,南海本線/和歌山市駅 バス12分 (バス停)小松原五丁目 歩4分,南海和歌山港線/和歌山港駅 歩33分,築26年,3階建,3階,7.1万円,5000円,-,-,3LDK,74.72m2,https://suumo.jp/chintai/jnc_000084990786/?bc=100345910871
賃貸アパート,パイナップル荘,和歌山県和歌山市堀止西２,南海本線/和歌山市駅 バス13分 (バス停)堀止 歩8分,ＪＲ紀勢本線/宮前駅 歩30分,ＪＲ阪和線/和歌山駅 歩50分,築18年,2階建,1階,3.8万円,5100円,-,-,1K,30.26m2,https://suumo.jp/chintai/jnc_000085361012/?bc=100346218476
賃貸アパート,ビルベリー荘,和歌山県和歌山市今福２,ＪＲ阪和線/和歌山駅 バス12分 (バス停)堀止 歩10分,,,築5年,3階建,2階,7.3万円,6000円,-,10万円,2LDK,58.07m2,https://suumo.jp/chintai/jnc_000084961092/?bc=100343942161
賃貸アパート,メゾン楠見中,和歌山県和歌山市楠見中,ＪＲ阪和線/和歌山駅 バス20分 (バス停)楠見中 歩5分,南海本線/紀ノ川駅 歩18分,ＪＲ紀勢本線/和歌山市駅 歩35分,築33年,2階建,2階,3.5万円,5000円,-,-,3DK,48.18m2,https://suumo.jp/chintai/jnc_000080796897/?bc=100288410119
賃貸アパート,メゾン楠見中,和歌山県和歌山市楠見中,ＪＲ阪和線/和歌山駅 バス20分 (バス停)楠見中 歩5分,南海本線/紀ノ川駅 歩18分,ＪＲ紀勢本線/和歌山市駅 歩35分,築33年,2階建,2階,3.5万円,5000円,-,-,3DK,48.18m2,https://suumo.jp/chintai/jnc_000084013219/?bc=100337993497
賃貸アパート,メゾン楠見中,和歌山県和歌山市楠見中,ＪＲ阪和線/和歌山駅 バス20分 (バス停)楠見中 歩5分,南海本線/紀ノ川駅 歩18分,ＪＲ紀勢本線/和歌山市駅 歩35分,築33年,2階建,2階,3.6万円,5000円,-,-,3DK,47.86m2,https://suumo.jp/chintai/jnc_000078175215/?bc=100304377898
賃貸アパート,ＪＲ紀勢本線 紀三井寺駅 2階建 築9年,和歌山県和歌山市関戸２,ＪＲ紀勢本線/紀三井寺駅 歩35分,ＪＲ紀勢本線/宮前駅 歩46分,南海和歌山港線/和歌山港駅 歩55分,築9年,2階建,1-2階,7.05万円,3300円,-,7.05万円,2LDK,67.9m2,https://suumo.jp/chintai/jnc_000085464114/?bc=100346833482
賃貸マンション,ハイツ二葉,和歌山県和歌山市新堀東２,ＪＲ紀勢本線/宮前駅 歩18分,南海本線/和歌山市駅 バス12分 (バス停)堀止 歩12分,ＪＲ阪和線/和歌山駅 バス18分 (バス停)堀止 歩12分,築43年,3階建,3階,6.5万円,3000円,6.5万円,6.5万円,2LDK,68m2,https://suumo.jp/chintai/jnc_000051316296/?bc=100346745563
賃貸アパート,ディアス八重　Ｂ棟,和歌山県和歌山市松島,ＪＲ阪和線/和歌山駅 歩29分,,,築23年,2階建,1階,6.6万円,4000円,-,5万円,1LDK,43.63m2,https://suumo.jp/chintai/jnc_000083853898/?bc=100336978132
賃貸マンション,西浜ヴィレッジ,和歌山県和歌山市西浜,南海和歌山港線/和歌山港駅 歩50分,ＪＲ紀勢本線/紀三井寺駅 歩49分,ＪＲ紀勢本線/宮前駅 歩64分,築41年,3階建,3階,4.2万円,3000円,-,-,3DK,62.5m2,https://suumo.jp/chintai/jnc_000078870147/?bc=100346747970
賃貸アパート,アルビネス田中町,和歌山県和歌山市田中町５,ＪＲ阪和線/和歌山駅 歩8分,わかやま電鉄貴志川線/田中口駅 歩5分,ＪＲ紀勢本線/宮前駅 歩23分,新築,3階建,1階,9.5万円,4000円,-,25万円,1LDK,41.85m2,https://suumo.jp/chintai/jnc_000082791112/?bc=100345028312
賃貸アパート,アルビネス田中町,和歌山県和歌山市田中町５,ＪＲ阪和線/和歌山駅 歩8分,わかやま電鉄貴志川線/田中口駅 歩5分,ＪＲ紀勢本線/宮前駅 歩23分,新築,3階建,1階,9.5万円,4000円,-,25万円,1LDK,41.71m2,https://suumo.jp/chintai/jnc_000082754667/?bc=100330125205
賃貸アパート,アルビネス田中町,和歌山県和歌山市田中町５,ＪＲ阪和線/和歌山駅 歩8分,わかやま電鉄貴志川線/田中口駅 歩5分,ＪＲ紀勢本線/宮前駅 歩23分,新築,3階建,1階,9.55万円,4000円,-,25万円,1LDK,42.03m2,https://suumo.jp/chintai/jnc_000082791114/?bc=100330497662
賃貸アパート,アルビネス田中町,和歌山県和歌山市田中町５,ＪＲ阪和線/和歌山駅 歩8分,わかやま電鉄貴志川線/田中口駅 歩5分,ＪＲ紀勢本線/宮前駅 歩23分,新築,3階建,1階,9.6万円,4000円,-,25万円,1LDK,42.28m2,https://suumo.jp/chintai/jnc_000082791113/?bc=100330497658
賃貸アパート,アルビネス田中町,和歌山県和歌山市田中町５,ＪＲ阪和線/和歌山駅 歩8分,わかやま電鉄貴志川線/田中口駅 歩5分,ＪＲ紀勢本線/宮前駅 歩23分,新築,3階建,2階,9.6万円,4000円,-,25万円,1LDK,41.71m2,https://suumo.jp/chintai/jnc_000082791115/?bc=100330497668
賃貸アパート,アルビネス田中町,和歌山県和歌山市田中町５,ＪＲ阪和線/和歌山駅 歩8分,わかやま電鉄貴志川線/田中口駅 歩5分,ＪＲ紀勢本線/宮前駅 歩23分,新築,3階建,2階,9.65万円,4000円,-,25万円,1LDK,42.03m2,https://suumo.jp/chintai/jnc_000082791118/?bc=100339285404
賃貸アパート,アルビネス田中町,和歌山県和歌山市田中町５,ＪＲ阪和線/和歌山駅 歩8分,わかやま電鉄貴志川線/田中口駅 歩5分,ＪＲ紀勢本線/宮前駅 歩23分,新築,3階建,3階,9.7万円,4000円,-,25万円,1LDK,41.71m2,https://suumo.jp/chintai/jnc_000082791119/?bc=100330497677
賃貸アパート,アルビネス田中町,和歌山県和歌山市田中町５,ＪＲ阪和線/和歌山駅 歩8分,わかやま電鉄貴志川線/田中口駅 歩5分,ＪＲ紀勢本線/宮前駅 歩23分,新築,3階建,3階,9.75万円,4000円,-,25万円,1LDK,42.03m2,https://suumo.jp/chintai/jnc_000082791122/?bc=100330426409
賃貸アパート,アルビネス田中町,和歌山県和歌山市田中町５,ＪＲ阪和線/和歌山駅 歩8分,わかやま電鉄貴志川線/田中口駅 歩5分,ＪＲ紀勢本線/宮前駅 歩23分,新築,3階建,3階,9.75万円,4000円,-,25万円,1LDK,42.03m2,https://suumo.jp/chintai/jnc_000085172387/?bc=100345040662
賃貸アパート,アルビネス田中町,和歌山県和歌山市田中町５,ＪＲ阪和線/和歌山駅 歩8分,わかやま電鉄貴志川線/田中口駅 歩5分,ＪＲ紀勢本線/宮前駅 歩23分,新築,3階建,3階,9.8万円,4000円,-,25万円,1LDK,42.28m2,https://suumo.jp/chintai/jnc_000082791121/?bc=100330786876
賃貸アパート,シンフォニータウンIII　Ｅ棟,和歌山県和歌山市鳴神,ＪＲ阪和線/和歌山駅 歩28分,わかやま電鉄貴志川線/田中口駅 歩25分,わかやま電鉄貴志川線/日前宮駅 歩12分,築21年,2階建,1階,5.4万円,3000円,-,-,ワンルーム,55.44m2,https://suumo.jp/chintai/jnc_000084313572/?bc=100313492109
賃貸アパート,シンフォニータウンIII　Ｅ棟,和歌山県和歌山市鳴神,ＪＲ阪和線/和歌山駅 歩28分,わかやま電鉄貴志川線/田中口駅 歩25分,わかやま電鉄貴志川線/日前宮駅 歩12分,築21年,2階建,2階,5.5万円,3000円,-,-,ワンルーム,55.44m2,https://suumo.jp/chintai/jnc_000084313573/?bc=100346472754
賃貸アパート,シンフォニータウンIII　Ｅ棟,和歌山県和歌山市鳴神,ＪＲ阪和線/和歌山駅 歩28分,わかやま電鉄貴志川線/田中口駅 歩25分,わかやま電鉄貴志川線/日前宮駅 歩12分,築21年,2階建,2階,5.5万円,3000円,-,-,ワンルーム,55.44m2,https://suumo.jp/chintai/jnc_000084313574/?bc=100313466847
賃貸アパート,シンフォニータウンIII　Ｅ棟,和歌山県和歌山市鳴神,ＪＲ阪和線/和歌山駅 歩28分,わかやま電鉄貴志川線/田中口駅 歩25分,わかやま電鉄貴志川線/日前宮駅 歩12分,築21年,2階建,1階,5.4万円,4000円,-,-,ワンルーム,55.44m2,https://suumo.jp/chintai/jnc_000084318781/?bc=100323944956
賃貸アパート,シンフォニータウンIII　Ｅ棟,和歌山県和歌山市鳴神,ＪＲ阪和線/和歌山駅 歩28分,わかやま電鉄貴志川線/田中口駅 歩25分,わかやま電鉄貴志川線/日前宮駅 歩12分,築21年,2階建,2階,5.5万円,4000円,-,-,ワンルーム,55.44m2,https://suumo.jp/chintai/jnc_000084318782/?bc=100323944955
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,1階,8.5万円,3500円,-,15万円,ワンルーム,29.5m2,https://suumo.jp/chintai/jnc_000085380248/?bc=100346661151
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,2階,8.7万円,3500円,-,15万円,ワンルーム,29.5m2,https://suumo.jp/chintai/jnc_000085380252/?bc=100346659423
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,3階,8.9万円,3500円,-,15万円,ワンルーム,29.5m2,https://suumo.jp/chintai/jnc_000085380255/?bc=100346661186
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,1階,9.4万円,3500円,-,20万円,1LDK,42.28m2,https://suumo.jp/chintai/jnc_000085380249/?bc=100346559074
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,2階,9.6万円,3500円,-,20万円,1LDK,42.28m2,https://suumo.jp/chintai/jnc_000085380253/?bc=100346659496
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,3階,9.8万円,3500円,-,20万円,1LDK,42.28m2,https://suumo.jp/chintai/jnc_000085380256/?bc=100346661166
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,1階,10万円,3500円,-,20万円,1LDK,43.25m2,https://suumo.jp/chintai/jnc_000085380250/?bc=100346559414
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,2階,10.2万円,3500円,-,20万円,1LDK,43.25m2,https://suumo.jp/chintai/jnc_000085380254/?bc=100346659416
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,1階,10.3万円,3500円,-,20万円,1LDK,44.31m2,https://suumo.jp/chintai/jnc_000085380251/?bc=100346659470
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,3階,10.4万円,3500円,-,20万円,1LDK,44.31m2,https://suumo.jp/chintai/jnc_000085394709/?bc=100346393641
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,3階,10.4万円,3500円,-,20万円,1LDK,43.25m2,https://suumo.jp/chintai/jnc_000085380257/?bc=100346661384
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,2階,10.5万円,3500円,-,20万円,1LDK,44.31m2,https://suumo.jp/chintai/jnc_000085404039/?bc=100346830086
賃貸アパート,クレスト光洋,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,3階,10.7万円,3500円,-,20万円,1LDK,44.31m2,https://suumo.jp/chintai/jnc_000085399676/?bc=100346834643
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,1階,8.5万円,3500円,-,15万円,ワンルーム,29.5m2,https://suumo.jp/chintai/jnc_000085420539/?bc=100346833480
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,2階,8.7万円,3500円,-,15万円,ワンルーム,29.5m2,https://suumo.jp/chintai/jnc_000085420543/?bc=100346833515
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,3階,8.9万円,3500円,-,15万円,ワンルーム,29.5m2,https://suumo.jp/chintai/jnc_000085420547/?bc=100346661081
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,1階,9.4万円,3500円,-,20万円,1LDK,42.28m2,https://suumo.jp/chintai/jnc_000085420540/?bc=100346661095
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,2階,9.6万円,3500円,-,20万円,1LDK,42.28m2,https://suumo.jp/chintai/jnc_000085420544/?bc=100346661003
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,3階,9.8万円,3500円,-,20万円,1LDK,42.28m2,https://suumo.jp/chintai/jnc_000085420548/?bc=100346661211
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,1階,10万円,3500円,-,20万円,1LDK,43.25m2,https://suumo.jp/chintai/jnc_000085420541/?bc=100346661149
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,2階,10.2万円,3500円,-,20万円,1LDK,43.25m2,https://suumo.jp/chintai/jnc_000085420545/?bc=100346661223
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,1階,10.3万円,3500円,-,20万円,1LDK,44.31m2,https://suumo.jp/chintai/jnc_000085420542/?bc=100346661240
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,3階,10.4万円,3500円,-,20万円,1LDK,43.25m2,https://suumo.jp/chintai/jnc_000085420549/?bc=100346661178
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,2階,10.5万円,3500円,-,20万円,1LDK,44.31m2,https://suumo.jp/chintai/jnc_000085420546/?bc=100346833517
賃貸アパート,南海本線 和歌山市駅 3階建 新築,和歌山県和歌山市西汀丁,南海本線/和歌山市駅 歩12分,,,新築,3階建,3階,10.7万円,3500円,-,20万円,1LDK,44.31m2,https://suumo.jp/chintai/jnc_000085420550/?bc=100346833512
賃貸マンション,チサンマンション紀ノ川,和歌山県和歌山市粟,南海本線/紀ノ川駅 歩20分,南海本線/和歌山市駅 バス13分 (バス停)土橋 歩4分,ＪＲ紀勢本線/紀和駅 歩27分,築33年,8階建,2階,7万円,-,7万円,7万円,2LDK,65.63m2,https://suumo.jp/chintai/jnc_000080624452/?bc=100317842546
